Site,Year,January,February,March,April,May,June,July,August,September,October,November,December
KGI,1999,1.9,1.9,1.7,0.8,-0.8,-3.7,-3.4,-5.3,-5.6,-2,-0.2,1
KGI,2000,1.8,1.9,0.8,0,-1.5,-2.4,-3.5,-6.5,-6,-2,-1.5,0.1
KGI,2001,1.3,0.4,-0.1,-3,-1.3,-5.2,-7,-3.1,-3,-1.3,-0.6,1
KGI,2002,2.1,2.4,-0.1,0,-5.7,-8.9,-6.8,-4.7,-3.2,-5.8,-1.7,0.3
KGI,2003,1.6,2.1,-0.4,-0.7,-2.5,-7.2,-5.8,-2.1,-2.9,-2.5,-2.1,-1.4
KGI,2004,1.1,1.5,0.7,-1.8,-2.5,-2.7,-3.7,-4.4,-4.4,-2.8,-0.7,0.3
KGI,2005,1.3,1.9,0.1,-1.1,-3.3,-7.4,-6.1,-3.8,-2.4,-1.7,-0.8,0
KGI,2006,2.7,2.5,2.6,-0.5,-0.8,-4,-4.2,-8.1,-4.7,-1.5,-0.7,1.1
KGI,2007,2,1.8,-0.9,-3.8,-4.6,-7.1,-11.8,-5.3,-3.5,-3.9,-2.1,0.3
KGI,2008,1.2,1.8,0.6,-1.7,-1.8,-3.5,-3.6,-5.1,-1.3,-1.3,-0.2,1.2
KGI,2009,2.1,1.6,1.5,-1.7,-3,-6.8,-8.6,-8.4,-4.6,-2.7,-2.1,0.1
KGI,2010,0.5,0.2,0,-2.1,-2.5,-2.3,-4.2,-4.5,-3.3,-0.8,0.3,-0.1
KGI,2011,1.2,2.3,0.8,-4.2,-2.7,-7,-9.8,-7.9,-6.1,-1.8,-0.7,0.9
KGI,2012,1.5,0.8,0.9,-4.2,-2.8,-6.7,-5.4,-4.6,-5.7,-3.7,-2.1,-1.2
KGI,2013,0.5,0.7,0.5,0.5,-3.7,-4.2,-6.2,-8.1,-5.1,-2.7,-2.1,-1.5
KGI,2014,0.1,-0.1,-0.8,-1.3,-2.9,-4.4,-3.1,-5.4,-4.5,-2.5,-2.2,-0.3
KGI,2015,0.7,1.4,0.8,-0.8,-2.9,-6.9,-7.6,-6,-7.3,-2.5,-1.8,-0.4
KGI,2016,0.3,0.5,0.6,-3.1,-2.1,-1.9,-4.4,-6.4,-1.4,-1.1,-0.7,0.5
KGI,2017,1.6,2,1.2,-1.4,-2,-5.3,-4,-5.3,-4.2,-2.9,-1.4,0.4
KGI,2018,1.5,2.3,1.1,-0.7,-2.2,-4.3,-4,-4.3,-3.3,-2.2,-0.7,0.5
KGI,2019,0.9,0.2,0.3,-1.1,-3.5,-3.9,-4.3,-4.9,-4.2,-2.9,-0.3,0.5
KGI,2020,2.6,2.4,0.8,-0.7,-2.2,-3.2,-4.1,-7.7,-4.9,-3.1,-0.5,0.5
KGI,2021,1.7,2,1.4,-0.7,-2.3,-2.4,-4.2,-4.6,-1.5,-0.9,-0.1,1.2