Region,Site,Year,Percentage_cover
East,Cape_Hallet,2000,0
East,Cape_Hallet,2001,0
East,Cape_Hallet,2002,0
East,Cape_Hallet,2003,
East,Cape_Hallet,2004,
East,Cape_Hallet,2005,
East,Cape_Hallet,2006,
East,Cape_Hallet,2007,
East,Cape_Hallet,2008,
East,Cape_Hallet,2009,
East,Cape_Hallet,2010,
East,Cape_Hallet,2011,
East,Cape_Hallet,2012,
East,Cape_Hallet,2013,10
East,Cape_Hallet,2014,10
East,Cape_Hallet,2015,0
East,Cape_Hallet,2016,16.67
East,Cape_Hallet,2017,26.67
East,Cape_Hallet,2018,
East,Cape_Hallet,2019,31.67
East,Cape_Hallet,2020,51.67
East,Casey,2000,0
East,Casey,2001,
East,Casey,2002,
East,Casey,2003,
East,Casey,2004,
East,Casey,2005,
East,Casey,2006,
East,Casey,2007,
East,Casey,2008,
East,Casey,2009,
East,Casey,2010,
East,Casey,2011,
East,Casey,2012,
East,Casey,2013,
East,Casey,2014,
East,Casey,2015,
East,Casey,2016,43.64
East,Casey,2017,12.73
East,Casey,2018,
East,Casey,2019,38.18
East,Casey,2020,36.36
East,MZB,2000,0
East,MZB,2001,0
East,MZB,2002,0
East,MZB,2003,
East,MZB,2004,
East,MZB,2005,
East,MZB,2006,
East,MZB,2007,
East,MZB,2008,
East,MZB,2009,
East,MZB,2010,
East,MZB,2011,
East,MZB,2012,
East,MZB,2013,40
East,MZB,2014,
East,MZB,2015,27.14
East,MZB,2016,47.14
East,MZB,2017,11.43
East,MZB,2018,12.86
East,MZB,2019,11.43
East,MZB,2020,17.14
West,KGI,2000,
West,KGI,2001,
West,KGI,2002,
West,KGI,2003,
West,KGI,2004,
West,KGI,2005,
West,KGI,2006,
West,KGI,2007,
West,KGI,2008,
West,KGI,2009,
West,KGI,2010,
West,KGI,2011,
West,KGI,2012,
West,KGI,2013,52.5
West,KGI,2014,
West,KGI,2015,
West,KGI,2016,
West,KGI,2017,
West,KGI,2018,
West,KGI,2019,
West,KGI,2020,77.5
West,Anch_Isl,2000,20
West,Anch_Isl,2001,0
West,Anch_Isl,2002,
West,Anch_Isl,2003,35
West,Anch_Isl,2004,
West,Anch_Isl,2005,
West,Anch_Isl,2006,
West,Anch_Isl,2007,30
West,Anch_Isl,2008,0
West,Anch_Isl,2009,
West,Anch_Isl,2010,
West,Anch_Isl,2011,0
West,Anch_Isl,2012,
West,Anch_Isl,2013,0
West,Anch_Isl,2014,0
West,Anch_Isl,2015,0
West,Anch_Isl,2016,0
West,Anch_Isl,2017,
West,Anch_Isl,2018,
West,Anch_Isl,2019,0
West,Anch_Isl,2020,0
West,Lag_Isl,2000,35
West,Lag_Isl,2001,0
West,Lag_Isl,2002,
West,Lag_Isl,2003,45
West,Lag_Isl,2004,
West,Lag_Isl,2005,
West,Lag_Isl,2006,
West,Lag_Isl,2007,10
West,Lag_Isl,2008,0
West,Lag_Isl,2009,
West,Lag_Isl,2010,
West,Lag_Isl,2011,0
West,Lag_Isl,2012,
West,Lag_Isl,2013,0
West,Lag_Isl,2014,0
West,Lag_Isl,2015,0
West,Lag_Isl,2016,0
West,Lag_Isl,2017,
West,Lag_Isl,2018,
West,Lag_Isl,2019,0
West,Lag_Isl,2020,0